timestamp,open,high,low,close,volume
1642615200000,3150.69,3156.8,3126.0,3135.92,8746.1934
1642611600000,3100.59,3158.78,3099.67,3150.68,18699.3599
1642608000000,3122.69,3131.52,3082.81,3100.6,19389.1498
1642604400000,3158.23,3161.85,3113.77,3122.68,19270.5109
1642600800000,3123.03,3161.18,3110.57,3158.23,18958.3881
1642597200000,3119.35,3142.28,3115.74,3123.04,11032.2895
1642593600000,3117.15,3133.0,3111.29,3119.35,11700.4438
1642590000000,3078.34,3130.33,3076.0,3117.28,26200.8809
1642586400000,3086.01,3088.82,3000.0,3078.34,22051.4834
1642582800000,3064.27,3092.44,3060.04,3086.01,13726.1496
1642579200000,3062.0,3070.0,3044.81,3064.27,16644.0989
1642575600000,3100.01,3100.01,3046.82,3062.0,27647.2049
1642572000000,3106.0,3111.51,3089.0,3100.0,9492.4564
1642568400000,3101.34,3113.21,3098.16,3106.0,6685.3654
1642564800000,3099.39,3114.49,3097.44,3101.34,9246.2101
1642561200000,3157.82,3158.82,3088.0,3099.38,27242.322
1642557600000,3170.69,3174.87,3151.07,3157.82,8634.32
1642554000000,3152.98,3173.6,3152.71,3170.68,7811.8511
1642550400000,3159.85,3169.99,3143.75,3152.98,7627.45
1642546800000,3179.21,3182.33,3156.59,3159.85,6960.8572
1642543200000,3162.87,3193.0,3155.44,3179.21,9966.6876
1642539600000,3123.95,3169.34,3118.53,3162.87,17135.2003
1642536000000,3127.68,3132.72,3100.28,3123.95,9937.4964
1642532400000,3107.78,3133.0,3104.64,3127.67,8704.1103
1642528800000,3104.13,3113.0,3082.0,3107.78,17015.4408
1642525200000,3131.61,3134.08,3102.52,3104.12,14020.5122
1642521600000,3116.54,3140.25,3102.03,3131.6,13758.7977
1642518000000,3119.81,3144.49,3113.0,3116.54,19782.5914
1642514400000,3139.22,3144.13,3100.18,3119.81,21627.1671
1642510800000,3163.01,3166.32,3110.0,3139.41,21590.1116
1642507200000,3171.22,3181.17,3147.46,3163.01,11339.5608
1642503600000,3175.0,3175.76,3153.45,3171.21,10992.3543
1642500000000,3165.74,3191.61,3156.69,3175.0,10334.5277
1642496400000,3157.08,3175.1,3128.39,3165.73,20548.9568
1642492800000,3187.8,3188.87,3150.0,3157.07,13468.8604
1642489200000,3201.1,3205.39,3181.53,3187.81,8032.5914
1642485600000,3174.33,3208.0,3174.05,3201.11,8019.0341
1642482000000,3175.01,3183.28,3164.72,3174.34,6493.9621
1642478400000,3182.32,3188.47,3163.17,3175.01,9457.1773
1642474800000,3218.59,3219.43,3175.03,3182.33,12804.8501
1642471200000,3223.35,3224.48,3209.07,3218.59,8515.0045
1642467600000,3228.36,3243.87,3217.79,3223.36,7373.725
1642464000000,3209.68,3235.54,3204.76,3228.64,11254.6957
1642460400000,3192.58,3221.0,3191.43,3209.67,9788.3316
1642456800000,3165.33,3216.27,3141.1,3192.57,15348.3694
1642453200000,3208.35,3210.54,3152.09,3165.32,15766.2425
1642449600000,3218.79,3224.24,3207.38,3208.35,5793.2246
1642446000000,3216.7,3226.04,3212.94,3218.96,6471.5899
1642442400000,3207.23,3217.41,3180.13,3216.71,18805.7862
1642438800000,3228.02,3231.56,3192.59,3207.23,13934.149
1642435200000,3236.65,3246.76,3208.29,3227.86,16585.305
1642431600000,3256.05,3258.18,3221.0,3236.65,17391.1346
1642428000000,3267.92,3275.75,3250.0,3256.05,7959.9281
1642424400000,3260.0,3275.34,3256.46,3267.91,6865.3941
1642420800000,3255.94,3280.6,3233.6,3260.01,13695.8352
1642417200000,3273.36,3279.42,3254.49,3255.94,6550.5214
1642413600000,3273.78,3279.0,3254.44,3273.36,8013.3991
1642410000000,3271.55,3281.7,3262.8,3273.78,6806.3143
1642406400000,3270.71,3278.12,3251.0,3271.54,12228.5853
1642402800000,3273.37,3299.95,3270.01,3270.7,8735.4433
1642399200000,3265.7,3282.76,3262.79,3273.37,9187.5347
1642395600000,3254.1,3268.2,3237.16,3265.7,14016.4718
1642392000000,3258.22,3274.75,3251.11,3254.09,16943.9248
1642388400000,3325.5,3330.45,3256.01,3258.22,27214.3761
1642384800000,3320.0,3326.89,3310.33,3325.49,8666.7042
1642381200000,3325.99,3331.53,3312.82,3319.99,7063.4321
1642377600000,3346.89,3357.57,3323.75,3326.0,10231.6575
1642374000000,3348.39,3362.26,3345.3,3346.88,5536.9909
1642370400000,3329.65,3353.01,3328.47,3348.39,5031.369
1642366800000,3332.96,3337.45,3326.56,3329.66,2967.8358
1642363200000,3320.97,3337.32,3310.42,3332.97,6470.8787
1642359600000,3346.84,3349.24,3312.79,3320.97,11190.1408
1642356000000,3346.12,3353.91,3339.56,3346.83,5796.2621
1642352400000,3371.12,3374.99,3344.0,3346.13,7957.3478
1642348800000,3353.49,3393.6,3344.52,3371.13,16617.7156
1642345200000,3350.66,3361.0,3341.01,3353.5,7471.3394
1642341600000,3340.47,3362.58,3328.68,3350.8,17355.348
1642338000000,3332.33,3350.0,3269.62,3340.46,29117.8952
1642334400000,3312.14,3344.89,3312.0,3332.14,9127.3268
1642330800000,3305.63,3319.4,3285.49,3312.01,11445.2128
1642327200000,3318.98,3333.83,3304.05,3305.63,7860.4823
1642323600000,3311.52,3323.89,3308.47,3318.98,8337.5559
1642320000000,3332.0,3337.74,3310.17,3311.52,8413.6768
1642316400000,3334.37,3340.04,3327.94,3331.75,7491.0855
1642312800000,3306.01,3336.85,3303.66,3334.38,6444.3473
1642309200000,3317.3,3323.34,3306.0,3306.0,4240.2755
1642305600000,3313.61,3321.78,3305.69,3317.3,6456.6191
1642302000000,3303.67,3319.95,3299.04,3313.61,5914.7812
1642298400000,3320.79,3326.69,3295.14,3303.67,9677.8516
1642294800000,3331.92,3337.13,3320.24,3321.07,4014.1302
1642291200000,3326.51,3334.66,3315.06,3331.92,5845.7594
1642287600000,3337.59,3344.97,3323.85,3326.04,5370.8595
1642284000000,3333.33,3341.06,3327.69,3337.6,3490.4594
1642280400000,3351.04,3353.0,3326.25,3333.33,7112.9192
1642276800000,3349.35,3370.24,3349.34,3351.04,8871.7906
1642273200000,3343.39,3350.56,3339.32,3349.35,4700.336
1642269600000,3349.89,3350.31,3340.87,3343.39,4985.1127
1642266000000,3358.6,3362.09,3346.76,3349.89,8712.0252
1642262400000,3361.97,3371.64,3353.0,3358.6,10287.8366
1642258800000,3338.71,3369.94,3332.51,3361.97,21986.3046
1642255200000,3302.73,3358.65,3292.92,3338.7,24053.4329
1642251600000,3282.8,3309.86,3275.0,3302.74,13072.5726
1642248000000,3318.54,3320.11,3261.0,3282.8,16519.5211
1642244400000,3322.95,3324.89,3312.75,3318.54,4662.0263
1642240800000,3330.3,3338.93,3322.7,3322.95,6988.7344
